"","Item","CREDI_code","CREDI_code_Apr17","RevCoded","tau","MOT","COG","LANG","SEM","alpha","delta","ShortForm"
"1","QM08","LF1","CREDI_LM01",FALSE,-11.631,1.345,0,0,0,0.8,-13.4675,FALSE
"2","QM07","LF2","CREDI_LM02",FALSE,-11.339,1.335,0,0,0,0.716,-13.4678770949721,FALSE
"3","QC06","LF3","CREDI_LC01",FALSE,-7.458,0,0,0,0.863,0.555,-12.8558558558559,FALSE
"4","QS01","LF4","CREDI_LS02",FALSE,-7.634,0,0,0,0.962,0.669,-11.7892376681614,TRUE
"5","QS04","LF5","CREDI_LS01",FALSE,-8.18,1.027,0,0,0,0.628,-12.3343949044586,FALSE
"6","QM06","LF6","CREDI_LM03",FALSE,-7.424,1.033,0,0,0,0.732,-11.0997267759563,TRUE
"7","QM03","LF7","CREDI_LM04",FALSE,-5.308,0.757,0,0,0,0.496,-10.6935483870968,FALSE
"8","QC14","LF8","CREDI_LC02",FALSE,-9.511,0,0,0,1.47,0.78,-9.60384615384615,TRUE
"9","QM01","LF9","CREDI_LM05",TRUE,-2.145,0.319,0,0,0,0.21,-10.4142857142857,FALSE
"10","QC04","LF10","CREDI_LC03",FALSE,-9.481,0,1.776,0,0,0.954,-8.93291404612159,FALSE
"11","QM10","LF11","CREDI_LM06",FALSE,-7.397,1.375,0,0,0,0.894,-8.14876957494407,FALSE
"12","QC05","LF12","CREDI_LC04",FALSE,-7.761,0,1.49,0,0,0.928,-8.75646551724138,TRUE
"13","QS17","LF13","CREDI_LS03",FALSE,-2.84,0,0,0,0.571,0.372,-7.12634408602151,FALSE
"14","QM12","LF14","CREDI_LM08",FALSE,-8.234,1.549,0,0,0,1.058,-7.92438563327032,TRUE
"15","QC08","LF15","CREDI_LC06",FALSE,-6.766,0,1.545,0,0,1.024,-7.38671875,TRUE
"16","QM09","LF16","CREDI_LM09",FALSE,-6.422,1.247,0,0,0,0.975,-7.83692307692308,TRUE
